Basic Details,,,,,,Customer Focus,,,Utility Characteristics,,Narrative Highlights and References,,,,Select Tariff Characteristics,,,,,,
State,Utility,Tariff or Service Rule,Status,Year,Last Updated in DELTa,Sector or Segment,Minimum Demand (MW),Minimum Load Factor,Utility Type,ISO/RTO,Narrative Highlights,Docket(s) Link,Final Decision Link,Tariff or Service Rule Link,Contract Term,Load Ramp-Up Period,Minimum Bill as a % of Contract Capacity,Financial Assurance & Contributions,Customer Pays Utility Study Costs,Contract Modification Provisions,Energy Transition Provisions
Alabama,Alabama Power,Rate BTAL: Business Time Advantage – Large,Approved,2025,2025-07 July,Large-Load Customers,0.5,Not Specified,Investor-Owned,"No, but is part of SEEM as a subsidiary of Southern Co.","On January 7, 2025, the Alabama Public Service Commission (PSC) approved Alabama Power's request to modify Rate BTAL Business Time Advantage - Large. The rate is an optional TOU price plan for large business customers with a minimum metered monthly demand of 500 kW (for customers metered and billed on a kVA rate, 625 kVA) at least twice in the previous 12 months. The revised tariff includes language indicating Alabama Power's right to negotiate terms, conditions, and arrangements for supplying customer loads of more than 30,000 kVa of capacity, subject to PSC approval.",Docket No. U-5024,Order,Rate BTAL: Business Time Advantage – Large,5 Years,Not Specified,75%,Not Specified,Not Specified,"Notice to Change or Exit
","TOU Pricing

"
Arizona,Arizona Public Service,Extra High Load Factor (XHLF) Rate,Proposed / Pending,2025,2025-07 July,Large-Load Customers,5,92%,Investor-Owned,"No, but is part of CAISO's WEIM","This information is derived from the proposed tariff, which is subject to regulatory approval.
Arizona Public Service (APS) filed a new rate case application on June 13, 2025. APS proposed a new cost allocation method that would result in directly assigning new generation costs to serve growth based on the level of increased load each class experiences. The increased generation costs incurred by APS to serve high load factor customers like data centers would be recovered specifically from those customers. 

APS also proposed changes to its XHLF Tariff to ensure that it has reasonable cost recovery terms and conditions in place that recognize and address the different needs and unique risks that these specific high load factor customers present. In this row, we summarize proposed provisions to the XHLF Tariff. Note: Currently, the XHLF tariff is optional for customers with monthly maximum demand of 5,000 kW or more and a 92% load factor or higher during 9 of 12 prior months. The proposed changes include making this tariff available to any customer whose monthly maximum demand is 5,000 kW or more at a single premise, and making it required for new and existing data center customers, and for other ""similarly situated large-use customers requiring the procurement of new generation resources to serve their load and such generation is not already in APS' resource plan as of June 2025...""",Docket No. E-01345A-25-0105,Decision Pending,Tariff Pending,Specified in Electric Supply Agreement (ESA),Not Specified,Not Specified,"CIAC

",Not Specified,Not Specified,Optional ESA Terms
Arizona,Salt River Project,E-67 Price Plan for Large Extra High Load Factor Substation Large General Service,Approved,2025,2025-07 July,Large-Load Customers,20,Not Specified,Public Power,"No, but is part of CAISO's WEIM","On February 27, 2025, Salt River Project's (SRP) publicly elected Board of Directors approved changes and adjustments to its price plans that will go into effect in the November 2025 billing cycle. Some of the approved changes are designed to help SRP shield existing customers from paying for the costs to serve expected significant load growth driven by various very large-load customers. This includes modifications to the E-67 price plan which are designed to ensure that SRP recovers the costs incurred to provide customer-requested capacity, even in the event that customer load does not materialize. Under the approved changes, new Large Load Accounts must be placed on the E-67 price plan and pay a demand charge based on the greater of their actual demand or 80% of their forecasted load. Large Load Accounts are defined as having a load of 20 MW or more, or which are reasonably expected to achieve a load of 20 MW or more within five years of the date on which the account first takes service from SRP.",Docket Not Included,Decision Not Included,E-67: Price Plan for Large Extra High Load Factor Substation Large General Service,Not Specified,Not Specified,80%,"Optional Reimbursement to Expedite Development
",Not Specified,Not Specified,"TOU Pricing
Optional Clean Energy Riders
Optional Interruptible Load Rider

"
Arkansas,Arkansas Electric Cooperative Corporation,Transmission Extension of Facilities Tariff (TEOF),Approved,2025,2025-11 November,Large-Load Customers,50,Not Specified,Cooperative,"SPP, MISO","On August 26, 2025, the Arkansas Public Service Commission approved Arkansas Electric Cooperative Corporation (AECC)'s new Transmission Extension of Facilities Tariff (TEOF), as originally filed in May, 2025. AECC designed TEOF as a mechanism to recover costs of anticipated required transmission upgrades and extensions to serve the rising number and unique nature of new interconnection requests that several of its 17 member cooperatives have received from ""power-intensive users"" (PIUs). Customers requesting service under this tariff would enter into a service agreement with an AECC member cooperative or be subject to a member cooperative's tariffs within the allocated service territory where the interconnection will occur. Some AECC member cooperatives may need to develop their own tariffs to pass through benefits and expenses to the PIU. AECC defines an PIU as a retail customer with a demand exceeding 50 MW, either as a single user or aggregated load. Under the TEOF, AECC would collect transmission costs from relevant member cooperatives, which could collect the cost from PIUs. The tariff is designed to capture and directly assign additional transmission expenses to PIUs while maintaining reliability and affordability for all member cooperatives and end-users. AECC noted that PIU customers seek higher-voltage interconnection than AECC's typical investments for average-load customers, making PIU costs higher (e.g., as high as $7 million / line mile) than average (e.g., $2 million / line mile).  Provisions include Contribution In Aid of Construction and a proposed Transmission Reimbursement Agreement to facilitate payments.",Docket No. 25-031-TF,Order,Schedule Transmission Extension of Facilities Tariff (TEOF),Not Specified,Not Specified,Not Specified,"CIAC

","CIAC factors in interconnection study costs

",Not Specified,Not Specified
Arkansas,Entergy Arkansas,Rate Schedule No. 69: Large Power High Density Service (LPHDS),Proposed / Pending,2023,2026-03 March,Cryptocurrency Customers,Not Specified,Not Specified,Investor-Owned,MISO,"Existing tariff in effect; revisions pending regulatory approval.
Entergy Arkansas' Rate Schedule No. 69, Large Power High Density Service (LPHDS), effective December 31, 2023, incorporated modifications to existing Rate Schedule No. 6., Large General Service (LGS), to better align terms of service with the requirements and characteristics of customers with cryptocurrency mining operations (See Docket No. 22-032-TF). Cryptocurrency customers must take service under Rate Schedule No. 69 and must enter into a separate Large Power High Load Density Service Agreement for Interruptible Service. The LPHDS rate includes provisions for firm contract demand, security deposits, and load modification requirements during specified restricted hours. Entergy Arkansas provides an annual report to the Arkansas Public Service Commission on the crypto miner customers taking service under this tariff along with data and information about load curtailments. Reports are filed in Docket No. 22-032-TF.

In its February 27, 2026 general rate case (See Docket No. 26-001-U), Entergy proposed renaming Rate Schedule No. 69 (LPHDS) to No. 10 (LPHLDS) and adding interruption provisions requiring at least 30 minutes’ notice and setting seasonal limits on interruptions by both MISO and Entergy.",Docket No. 26-001-U,Order,Rate Schedule No. 69: Large Power High Load Density Service (LPHLDS),1 Year,Not Specified,Not Specified,"Security Deposit
CIAC
Surety Bond for Costs of Failure to Curtail Load

",Not Specified,"Contract Capacity Changes
Notice to Change or Exit
Interruptible Service Agreement Changes","Separate Interruptible Service Agreement
"
Arkansas,Southwest Arkansas Electric Cooperative,Industrial Power (IP-4),Approved,2026,2026-03 March,General Commercial & Industrial Customers,10 MVA,98%,Cooperative,"SPP, MISO","On March 10, 2026, the Arkansas Public Service Commission approved Southwest Arkansas Electric Cooperative Coorporation's new Industrial Power rate for industrial customers up to 50 MW requiring transformer capacity over 10,000 kVA. The rate includes a monthly customer charge, a demand charge based on measured peak demand, and an energy charge. The minimum bill is the customer charge. Billing demand is based on either 1) the maximum kW demand during any 15-minute interval in the billing period or 2) 90% of the maximum measured demand established during the previous 12 months; there would also be a 98% minimum power factor, in line with the Cooperative's existing power factors.

The application notes that the tariff is beholden to the Cooperative's existing Extension of Facilities Policy. This includes finacial security via a surety bond, irrevocable letter of credit, parent guaranty, or other acceptable mechanism. It also includes a facilities charge to recover costs not collected through Contribution-In-Aid-Of-Construction.",Docket No. 25-076-TF,Order,Tariff Not Published,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Arkansas,Southwestern Electric Power Company,Large Load Service Option,Approved,2026,2026-03 March,Large-Load Customers,0.5,40%,Investor-Owned,SPP,"In March 2025, as part of a general rate case, SWEPCO proposed revisions to one of the options included in its economic development rider. Under the proposal, SWEPCO would no longer list ""server farms and information technology-related companies"" as an example of businesses and industries eligible for service under Option 2, which is available for customers receiving service under the Lighting and Power rate schedule and bringing new loads of 200 kW or more. The proposal does not include changes for Option 1, which is available for new loads of 500kW or more, or significant expansions of existing load in excess of 500kW incremental load, or for resumption of service to loads of a minimum of 500kW which have been inactive for 12 months or more, and take service under the Lighting and Power rate or the Large Lighting and Power rate (10,000 kW or greater). The availability of Option 1 is at the sole discretion of the utility; SWEPCO will not accept new applications for service under Option 1 when its forecasts indicate that additional generating capacity will be needed within a three-year period. SWEPCO filed a settlement agreement on November 7, 2025, which did not mention the proposed changes, only amending filing deadlines under the rider. On January 23, 2026, the Arkansas Public Service Commission filed an order approving the settlement agreement in full. SWEPCO's compliance tariffs did include the originally proposed changes, removing mention of server farms and information technology-related companies and clarifying that Option 1 is at its sole discretion; the compliance tariffs also integrated the filing deadlines from the settlement.",Docket No. 25-003-U,Order,Large Load Service Option,5 Years,Not Specified,Not Specified,Not Specified,Not Specified,Notice to Change or Exit,Not Specified
California,Pacific Gas & Electric,Electric Rule No. 30: Retail Service Transmission Facilities,Proposed / Pending,2024,2025-07 July,General Commercial & Industrial Customers,Not Specified,Not Specified,Investor-Owned,CAISO,"This information is derived from the proposed tariff, which is subject to regulatory approval.
On November 21, 2024, Pacific Gas & Electric (PG&E) applied for approval of Electric Rule No. 30, designed for new customers requesting retail electric service at transmission-level voltages. In January 2025, PG&E filed a motion for authority to implement Rule No. 30 on an interim basis pending the outcome of this proceeding. CPUC issued a proposed decision on June 20, 2025. In the application, PG&E explains that it is receiving a growing number of new service requests at the transmission level, many of which are from data centers (alongside universities, manufacturing, industrial, and EV-charging customers). PG&E has established electric rules for new interconnections to the distribution system, but when a customer applies for transmission-level retail electric service, PG&E and the customer are required to negotiate unique interconnection terms. PG&E anticipates that Rule No. 30 will address all future requests. Rule No. 30 provides transmission-level customers with an opportunity to lower their overall costs and includes financial protections for existing customers. ",Docket No. A-24-11-007,Decision Pending,Tariff Pending,Not Specified,"10 Years

",Not Specified,"CIAC
Advances
Self-Build Options
Other Customer Contributions",Advances include design,Not Specified,Not Specified
Colorado,Black Hills Energy,Economic Development Rate (EDR),Proposed / Pending,2025,2026-03 March,General Commercial & Industrial Customers,3,Not Specified,Investor-Owned,"No, but is joining SPP in 2026.","This information is derived from the proposed tariff, which is subject to regulatory approval.
On November 25, 2025, Black Hills Energy proposed a new economic development tariff for Large Power Service customers who 1) will add at least 3 MW of load in a new or existing location in the utility's territory and 2) demonstrate that the cost of electricity is a critical consideration in deciding where to locate a facility. The 3 MW minimum is based on the maximum 15-minute integrated measured demand during a billing period; the minimum bill is based on 3 MW. For each MW of minimum load over 40 MW, the customer would be billed at the standard rate. The rider would offer a 30% discount to base rate energy and demand charges and would be exempt from certain adjustment riders. The standard contract term is 10 years; contract terms 10-25 years would require regulatory approval. Loads up to 40 MW would not require regulatory approval; loads over 40 MW would require regulatory approval. Customers must fund any necessary T&D extensions under the utility's line extension policies and any generation asset acquired specifically to serve the customer; Black Hills is also amending its line extension policies to exclude Economic Development Rate customers from allowances.

Black Hills filed a settlement agreement on February 19, 2026, which would approve the tariff with modifications. The tariff would be limited to 100 MW, at which point Black Hills must request a regulatory variance; the cap would reset when Black Hills updates its marginal capacity costs. Participants would receive the 30% discount and be exempt from the Transmission Cost Adjustment rider, but must still pay the Demand Side Management Cost Adjustment, Renewable Energy Standard Adjustment, and Clean Energy Plan Rider. Participants must perform at least one system benefit activity: maintain a load factor above system average, maintain a favorable load shape, subscribe to the interruptible load tariff, install behind-the-meter renewable energy or storage, install demand-side management measures, contribute to a low-income program, install electric vehicle charging, obtain LEED certification, or implement a customer-designed measure that provides system benefits. Customers not enrolled in the tariff would be held harmless and not responsible for any costs incurred on behalf of participants.",Docket No. 25A-0500E,Settlement Agreement ,Tariff Pending,10 Years,Not Specified,Not Specified,"Cost of New Facilities
",Not Specified,Not Specified,Customer Agrees to Provide System Benefits
Colorado,Colorado Springs Utilities,Industrial Service - Large Load (ELL),Approved,2026,2026-03 March,Large-Load Customers,10,Not Specified,Public Power,"No, but is joining SPP in 2026.","On October 28, 2025, the Colorado Springs City Council passed an ordinance approving municipally-owned Colorado Springs Utilities' (CSU) proposed 2026 operating budget and rate plan, including a new Industrial Service - Large Load tariff (ELL). Tariff ELL applies to customers whose maximum demand over the last 12 billing periods was at least 10 MW, or is expected to grow to 10 MW over the next 120 billing periods. Customers will take service under a Large Load Service Agreement (LLSA) subject to both utility and potential future RTO provisions and requirements. Tariff ELL outlines a minimum 10-year initial contract term, potential for load flexibility, and various procedural and financial provisions. Customers are responsible for the costs of transmission upgrades, line extensions triggered by their project, and any market-based capacity and energy required beyond CSU's resources. Additional terms include collateral requirements; minimum billing demand during the initial 10-year LLSA period; and contract exit terms. Tariff ELL is expected to go into effect on January 1, 2026. Once CSU joins the Southwest Power Pool (SPP) in April 2026, service under ELL will be contigent upon partipation in SPP and compliance with the wholesale market's rules. ",Annual Operating Budget,City Council Ordinance No. 25-79,Industrial Service – Large Load (ELL),10 Years,Not Specified,100% in Initial Term,Collateral Requirement,RTO Study and Interconnection Costs,"Contract Capacity Changes
Notice to Change or Exit
Change or Exit Fees
Collateral Requirement Waiver",Not Specified
