state,records,entryFrictionRiskScore,medianMinDemandMw,minBillSharePct,financialAssuranceSharePct,longTermSharePct,modificationSharePct,transitionSharePct
Wisconsin,1,80.0,500.0,0.0,100.0,100.0,100.0,0.0
Georgia,1,77.6,100.0,100.0,100.0,100.0,100.0,0.0
West Virginia,1,77.6,100.0,100.0,100.0,100.0,100.0,0.0
Kentucky,3,74.8,50.0,100.0,100.0,100.0,100.0,0.0
Oklahoma,1,72.6,10.0,100.0,100.0,100.0,100.0,0.0
Florida,3,68.8,50.0,100.0,100.0,66.7,100.0,0.0
Kansas,3,66.2,75.0,100.0,100.0,100.0,100.0,100.0
Indiana,1,65.9,70.0,100.0,100.0,100.0,100.0,100.0
Missouri,5,63.0,75.0,100.0,100.0,60.0,100.0,60.0
Michigan,3,58.1,50.0,66.7,66.7,100.0,100.0,33.3
Ohio,1,55.4,25.0,100.0,100.0,0.0,100.0,0.0
New York,1,52.0,0.3,0.0,100.0,100.0,100.0,0.0
Pennsylvania,3,51.5,50.0,100.0,100.0,33.3,66.7,66.7
Colorado,2,50.4,6.5,50.0,100.0,100.0,50.0,50.0
Minnesota,4,49.0,62.5,50.0,100.0,75.0,50.0,50.0
South Carolina,1,36.8,50.0,0.0,100.0,0.0,100.0,0.0
Virginia,7,32.5,25.0,42.9,71.4,28.6,42.9,28.6
Washington,2,32.0,0.0,100.0,50.0,0.0,50.0,50.0
Texas,4,30.8,50.0,75.0,50.0,25.0,25.0,50.0
Illinois,2,29.8,50.0,0.0,100.0,0.0,50.0,0.0
North Carolina,2,27.1,1.0,100.0,0.0,0.0,50.0,0.0
Iowa,1,25.4,25.0,0.0,100.0,0.0,100.0,100.0
Alabama,1,24.0,0.5,100.0,0.0,0.0,100.0,100.0
Utah,1,22.8,50.0,0.0,100.0,0.0,0.0,0.0
Nebraska,1,21.1,20.0,100.0,0.0,0.0,0.0,0.0
Arizona,2,20.7,12.5,50.0,100.0,0.0,0.0,100.0
Montana,2,20.3,5.0,0.0,100.0,0.0,0.0,0.0
California,1,20.0,0.0,0.0,100.0,0.0,0.0,0.0
Delaware,2,19.1,37.5,0.0,50.0,0.0,50.0,0.0
Oregon,3,18.5,20.0,33.3,33.3,33.3,33.3,66.7
South Dakota,2,18.0,17.5,0.0,100.0,0.0,50.0,100.0
Wyoming,3,16.6,10.0,0.0,66.7,0.0,66.7,66.7
Arkansas,4,15.1,10.0,0.0,50.0,0.0,50.0,25.0
North Dakota,1,11.4,25.0,0.0,100.0,0.0,0.0,100.0
Nevada,1,4.3,5.0,0.0,0.0,0.0,100.0,100.0
Idaho,1,0.0,2.0,0.0,0.0,0.0,0.0,100.0
