data_year,utility_number,utility_name,state,ba_code,yearly_energy_and_demand_savings_number_of_customers_enrolled_residential,yearly_energy_and_demand_savings_number_of_customers_enrolled_commercial,yearly_energy_and_demand_savings_number_of_customers_enrolled_industrial,yearly_energy_and_demand_savings_number_of_customers_enrolled_transportation,yearly_energy_and_demand_savings_number_of_customers_enrolled_total,yearly_energy_and_demand_savings_energy_savings_mwh_residential,yearly_energy_and_demand_savings_energy_savings_mwh_commercial,yearly_energy_and_demand_savings_energy_savings_mwh_industrial,yearly_energy_and_demand_savings_energy_savings_mwh_transportation,yearly_energy_and_demand_savings_energy_savings_mwh_total,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_residential,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_commercial,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_industrial,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_transportation,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_total,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_residential,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_commercial,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_industrial,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_transportation,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_total,program_costs_customer_incentives_thousand_dollars_residential,program_costs_customer_incentives_thousand_dollars_commercial,program_costs_customer_incentives_thousand_dollars_industrial,program_costs_customer_incentives_thousand_dollars_transportation,program_costs_customer_incentives_thousand_dollars_total,program_costs_all_other_costs_thousand_dollars_residential,program_costs_all_other_costs_thousand_dollars_commercial,program_costs_all_other_costs_thousand_dollars_industrial,program_costs_all_other_costs_thousand_dollars_transportation,program_costs_all_other_costs_thousand_dollars_total,dsm_program_grid_connected_water_heater
2024,162,Aiken Electric Coop Inc,SC,SC,231,0,0,,231,1.016,0,0,,1.016,0.205,0,0,,0.205,0.155,0,0,,0.155,9.95,,,,9.95,,,,,,0
2024,189,PowerSouth Energy Cooperative,AL,SOCO,16748,,,,16748,0,,,,0,14,,,,14,14,,,,14,0,,,,0,319,,,,319,0
2024,195,Alabama Power Co,AL,SOCO,21252,5,55,,21312,278.194,0.25,0,,278.444,143.498,4.41,1521.06,,1668.968,14.135,2.42,0,,16.555,133.65,99.555,30553.03,,30786.235,3571.254,181.28,362.559,,4115.093,
2024,207,Alameda Municipal Power,CA,CISO,33174,4052,,,37226,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,213,Alaska Electric Light & Power Co.,AK,NA,2227,28,,,2255,,,,,,5,13,,,18,,,,,,62.087,0.781,,,62.868,0.235,0.003,,,0.238,
2024,295,City of Alexandria - (MN),MN,MISO,1695,,,,1695,,,,,,11.733,,,,11.733,6.334,,,,6.334,0.001,,,,0.001,150.334,,,,150.334,
2024,332,Allegheny Electric Coop Inc,PA,PJM,42843,,,,42843,,,,,,42.335,,,,42.335,41.971,,,,41.971,,,,,,3250.27,,,,3250.27,13
2024,407,Altamaha Electric Member Corp,GA,SOCO,,,231,,231,,,41,,41,,,16.7,,16.7,,,10.9,,10.9,,,,,,,,,,,
2024,554,City of Ames - (IA),IA,MISO,10846,174,1,,11021,,,,,,3.1,0.1,2,,5.2,3.1,0.1,2,,5.2,218.07,7.815,31.2,,257.085,,,,,,
2024,590,City of Anaheim - (CA),CA,CISO,551,13,,,564,,,,,,,9.9,,,9.9,,,,,,1.07,,,,1.07,,,,,,
2024,733,Appalachian Power Co,VA,PJM,10170,,1,,10171,90,,,,90,10.2,,15.9,,26.1,7.3,,,,7.3,264,,,,264,618,,,,618,
