data_year,utility_number,utility_name,state,distribution_circuits,circuits_with_voltage_optimization
2024,55,City of Aberdeen - (MS),MS,8,8
2024,84,A & N Electric Coop,MD,1,0
2024,84,A & N Electric Coop,VA,45,0
2024,108,Adams-Columbia Electric Coop,WI,99,0
2024,155,Agralite Electric Coop,MN,63,0
2024,162,Aiken Electric Coop Inc,SC,126,
2024,176,Ajo Improvement Co,AZ,5,
2024,195,Alabama Power Co,AL,2178,2178
2024,207,Alameda Municipal Power,CA,24,24
2024,213,Alaska Electric Light & Power Co.,AK,30,0
2024,219,Alaska Power and Telephone Co,AK,39,0
2024,221,"Alaska Village Elec Coop, Inc",AK,178,0
2024,230,Albany Utility Board,GA,51,51
2024,232,City of Albemarle - (NC),NC,14,14
2024,240,Albemarle Electric Member Corp,NC,32,29
2024,241,Albertville Municipal Utilities Board,AL,25,25
2024,261,AGC Division of APGI Inc,IN,1,
2024,276,Alcorn County Elec Power Assn,MS,33,0
2024,295,City of Alexandria - (MN),MN,26,6
2024,296,"Alfalfa Electric Coop, Inc",KS,3,
2024,296,"Alfalfa Electric Coop, Inc",OK,48,
2024,298,City of Alexandria - (LA),LA,61,
2024,305,Alger-Delta Coop Electric Assn,MI,16,0
2024,307,Algoma Utility Comm,WI,9,9
2024,392,Alpena Power Co,MI,36,0
2024,407,Altamaha Electric Member Corp,GA,58,58
2024,416,City of Altus - (OK),OK,13,
2024,471,Amana Society Service Co,IA,6,
2024,554,City of Ames - (IA),IA,41,0
2024,562,Amicalola Electric Member Corp,GA,65,0
2024,571,City of Amory,MS,11,0
2024,577,City of Alcoa Utilities,TN,34,0
2024,590,City of Anaheim - (CA),CA,123,123
2024,604,City of Andalusia,AL,14,
2024,636,City of Anderson - (IN),IN,54,0
2024,689,Connexus Energy,MN,205,205
2024,691,City of Anoka,MN,25,0
2024,719,Town of Apex- (NC),NC,18,16
2024,727,Appalachian Electric Coop,TN,78,78
2024,733,Appalachian Power Co,VA,613,6
2024,733,Appalachian Power Co,WV,499,3
2024,750,Arab Electric Coop Inc,AL,22,0
2024,803,Arizona Public Service Co,AZ,1457,
2024,814,Entergy Arkansas LLC,AR,967,
2024,814,Entergy Arkansas LLC,TN,3,
2024,817,Arkansas Valley Elec Coop Corp,AR,129,0
2024,817,Arkansas Valley Elec Coop Corp,OK,13,0
2024,944,City of Athens - (AL),AL,78,0
2024,947,Athens Utility Board,TN,26,11
2024,963,Atlantic City Electric Co,NJ,353,0
2024,994,City of Auburn - (IN),IN,20,3
2024,1009,City of Austin - (MN),MN,24,9
2024,1015,Austin Energy,TX,439,113
2024,1050,City of Azusa,CA,20,
2024,1149,Baldwin County El Member Corp,AL,102,102
2024,1167,Baltimore Gas & Electric Co,MD,1525,1089
2024,1169,Bailey County Elec Coop Assn,TX,88,88
2024,1175,"Bandera Electric Coop, Inc",TX,54,5
2024,1179,Versant Power,ME,236,236
2024,1196,Village of Baraga - (MI),MI,2,0
2024,1251,Barron Electric Coop,WI,39,
2024,1273,"Bartlett Electric Coop, Inc",TX,32,11
2024,1283,Bartholomew County Rural E M C,IN,37,0
2024,1300,City of Bartow - (FL),FL,18,0
2024,1307,Basin Electric Power Coop,ND,1,1
2024,1325,City of Batavia - (IL),IL,22,
2024,1366,City of Bay City - (MI),MI,37,0
2024,1458,"Beauregard Electric Coop, Inc",LA,63,63
2024,1529,"Beltrami Electric Coop, Inc",MN,73,0
2024,1572,Badger Power Marketing Authority,WI,2,
2024,1578,Benton County,TN,14,0
2024,1579,PUD No 1 of Benton County,WA,141,3
2024,1581,City of Benton - (AR),AR,15,15
2024,1582,City of Benton - (KY),KY,5,0
2024,1586,City of Bentonville - (AR),AR,53,
2024,1591,"Big Country Electric Coop, Inc",TX,56,0
2024,1613,Berkeley Electric Coop Inc,SC,243,193
2024,1625,Benton Rural Electric Assn,WA,67,
2024,1640,City of Bessemer Utilities,AL,39,0
2024,1708,Big Sandy Rural Elec Coop Corp,KY,36,
2024,1723,"Big Bend Electric Coop, Inc",WA,66,0
2024,1763,"Black River Electric Coop, Inc - (SC)",SC,110,87
2024,1764,Black Diamond Power Co,WV,6,
2024,1769,"Black Hills Electric Coop, Inc",SD,40,
2024,1775,Black River Electric Coop - (MO),MO,62,
2024,1776,City of Black River Falls,WI,14,0
2024,1780,Black Warrior Elec Member Corp,AL,93,
2024,1857,Block Island Utility District,RI,6,0
2024,1884,BENCO Electric Cooperative,MN,115,97
2024,1886,Blue Grass Energy Coop Corp,KY,145,39
2024,1889,Blue Ridge Elec Member Corp - (NC),NC,105,64
2024,1890,Blue Ridge Electric Coop Inc - (SC),SC,157,
2024,1891,Blue Ridge Mountain EMC - (GA),GA,28,28
2024,1891,Blue Ridge Mountain EMC - (GA),NC,13,13
2024,1892,"Bluebonnet Electric Coop, Inc",TX,229,175
2024,1896,City of Bluffton - (IN),IN,26,
2024,1936,Bolivar Energy Authority,TN,22,20
2024,1997,City of Boscobel - (WI),WI,6,0
2024,2001,Boone Electric Coop,MO,62,0
2024,2008,City of Boulder City - (NV),NV,31,
2024,2010,City of Bountiful,UT,20,0
2024,2049,"Bowie-Cass Electric Coop, Inc",TX,110,0
2024,2054,City of Bowling Green - (OH),OH,32,15
2024,2056,City of Bowling Green - (KY),KY,55,0
2024,2089,Bozrah Light & Power Company,CT,4,
2024,2138,Brainerd Public Utilities,MN,6,0
2024,2144,Town of Braintree - (MA),MA,23,23
2024,2194,City of Brenham - (TX),TX,11,11
2024,2212,"Broad River Electric Coop, Inc",NC,1,1
2024,2212,"Broad River Electric Coop, Inc",SC,58,58
2024,2247,City of Bristol - (TN),TN,66,55
2024,2248,Bristol Virginia Utilities,VA,36,0
2024,2273,Brodhead Water & Lighting Comm,WI,8,0
2024,2285,City of Brookings - (SD),SD,43,0
2024,2394,Burke-Divide Electric Coop Inc,ND,45,45
2024,2409,Brownsville Public Utilities Board,TX,60,0
2024,2411,City of Brownsville,TN,15,0
2024,2442,City of Bryan - (TX),TX,99,0
2024,2487,City of Buford,GA,12,12
2024,2502,"Buckeye Rural Elec Coop, Inc",OH,53,0
2024,2507,City of Burbank Water and Power,CA,112,
2024,2548,City of Burlington Electric - (VT),VT,16,16
2024,2643,Butler Public Power District - (NE),NE,52,0
2024,2651,Butler Rural Electric Coop Inc - (OH),OH,49,0
2024,2652,Butler County Rural Elec Coop - (IA),IA,86,34
2024,2678,C & L Electric Coop Corp,AR,58,
2024,2774,CMS Electric Coop Inc,KS,40,40
2024,2812,City of Calhoun - (GA),GA,24,17
2024,2849,Central Electric Power Assn - (MS),MS,86,0
2024,2903,Canoochee Electric Member Corp,GA,46,23
2024,2911,"Canadian Valley Elec Coop, Inc",OK,77,77
2024,2960,"Caney Fork Electric Coop, Inc",TN,27,0
2024,2985,"Capital Electric Coop, Inc",ND,95,95
2024,3046,Duke Energy Progress - (NC),NC,1182,1182
2024,3046,Duke Energy Progress - (NC),SC,178,178
2024,3075,Carroll County - (TN),TN,22,0
2024,3081,Carroll Electric Member Corp - (GA),GA,89,81
2024,3093,Carroll Electric Coop Corp - (AR),AR,191,
2024,3093,Carroll Electric Coop Corp - (AR),MO,19,
2024,3107,Carteret-Craven El Member Corp,NC,67,
2024,3108,City of Cartersville - (GA),GA,28,0
2024,3113,City of Carthage - (MO),MO,17,16
2024,3203,Cedar Falls Utilities,IA,26,26
2024,3205,Cedar-Knox Public Power Dist,NE,68,
2024,3208,Cedarburg Light & Water Comm,WI,10,10
2024,3216,City of Celina - (OH),OH,14,3
2024,3222,Central Alabama Electric Coop,AL,76,76
2024,3226,"Central Rural Electric Cooperative, Inc",OK,65,65
2024,3236,"Central Electric Coop, Inc - (SD)",SD,70,
2024,3240,Central Electric Coop Inc - (OR),OR,75,
2024,3245,"Central Florida Elec Coop, Inc",FL,54,39
2024,3248,Central Georgia El Member Corp,GA,88,88
2024,3249,Central Hudson Gas & Elec Corp,NY,272,0
2024,3250,Central Electric Membership Corp. - (NC),NC,30,
2024,3264,Central Lincoln People's Ut Dt,OR,237,6
2024,3265,Cleco Power LLC,LA,801,
2024,3266,Central Maine Power Co,ME,494,0
2024,3268,Central Missouri Elec Coop Inc,MO,44,0
2024,3273,"Central New Mexico El Coop, Inc",NM,35,
2024,3278,AEP Texas Central Company,TX,1032,
2024,3282,"Central Texas Elec Coop, Inc",TX,74,
2024,3287,"Central Valley Elec Coop, Inc",NM,95,95
2024,3291,Central Virginia Electric Coop,VA,86,0
2024,3295,City of Centralia - (WA),WA,36,36
2024,3329,Borough of Chambersburg,PA,32,32
2024,3355,City of Chanute,KS,7,7
2024,3400,City of Chaska - (MN),MN,22,0
2024,3408,City of Chattanooga - (TN),GA,1,0
2024,3408,City of Chattanooga - (TN),TN,294,294
2024,3413,PUD No 1 of Chelan County,WA,130,124
2024,3426,Cherokee Electric Coop - (AL),AL,28,0
2024,3436,Cherryland Electric Coop Inc,MI,54,0
2024,3461,Cheyenne Light Fuel & Power,WY,77,0
2024,3470,Cherokee County Elec Coop Assn - (TX),TX,35,
2024,3475,City of Chickamauga,GA,1,0
2024,3477,City of Chicopee - (MA),MA,16,0
2024,3478,Cimarron Electric Coop,OK,72,40
2024,3502,"Choctawhatche Elec Coop, Inc",FL,87,78
2024,3503,"Choptank Electric Cooperative, Inc",MD,120,0
2024,3522,Chugach Electric Assn Inc,AK,160,155
2024,3527,Choctaw Electric Coop Inc,OK,61,61
2024,3542,Duke Energy Ohio Inc,OH,803,519
2024,3597,Citizens Electric Co - (PA),PA,9,9
2024,3600,Citizens Electric Corporation - (MO),MO,106,0
2024,3641,"Claiborne Electric Coop, Inc",LA,66,0
2024,3644,PUD No 1 of Clallam County,WA,72,15
2024,3647,City of Claremore,OK,24,
2024,3660,PUD No 1 of Clark County - (WA),WA,203,19
2024,3687,Clark Energy Coop Inc - (KY),KY,77,
2024,3704,City of Clarksville - (TN),TN,78,78
2024,3705,Clarksville Connected Utilities,AR,24,14
2024,3712,Clay County Electric Coop Corp - (AR),AR,32,0
2024,3712,Clay County Electric Coop Corp - (AR),MO,1,0
2024,3755,Cleveland Electric Illum Co,OH,1088,998
2024,3757,"Clay Electric Cooperative, Inc - (FL)",FL,178,0
2024,3758,City of Cleveland - (TN),TN,56,56
2024,3762,City of Cleveland - (OH),OH,276,
2024,3812,City of Clinton - (TN),TN,47,47
2024,3824,Clyde Light & Power,OH,4,
2024,3828,Cloverland Electric Co-op,MI,93,0
2024,3841,Coast Electric Power Assn - (MS),MS,129,0
2024,3843,Coastal Electric Member Corp - (GA),GA,38,38
2024,3855,Columbia Power System - (TN),TN,31,0
2024,3892,City of Coffeyville - (KS),KS,24,0
2024,3915,Coldwater Board of Public Util,MI,34,34
2024,3916,Cobb Electric Membership Corp,GA,201,194
2024,3931,Coles-Moultrie Electric Coop,IL,50,0
2024,3939,City of College Park - (GA),GA,27,
2024,3940,City of College Station - (TX),TX,59,0
2024,3989,City of Colorado Springs - (CO),CO,243,190
2024,4003,City of Colton - (CA),CA,30,
2024,4041,"Columbia Rural Elec Assn, Inc",OR,2,0
2024,4041,"Columbia Rural Elec Assn, Inc",WA,33,0
2024,4045,City of Columbia - (MO),MO,62,62
2024,4063,Co-Mo Electric Coop Inc,MO,74,74
2024,4065,City of Columbus - (OH),OH,61,0
2024,4068,City of Columbus - (MS),MS,31,0
2024,4073,City of Columbus - (WI),WI,13,0
2024,4110,Commonwealth Edison Co,IL,5639,2332
