data_year,utility_number,utility_name,short_form,state,ba_code,number_of_customers_enrolled_residential,number_of_customers_enrolled_commercial,number_of_customers_enrolled_industrial,number_of_customers_enrolled_transportation,number_of_customers_enrolled_total,types_of_program_time_of_use_pricing_residential,types_of_program_time_of_use_pricing_commercial,types_of_program_time_of_use_pricing_industrial,types_of_program_time_of_use_pricing_transportation,types_of_program_real_time_pricing_residential,types_of_program_real_time_pricing_commercial,types_of_program_real_time_pricing_industrial,types_of_program_real_time_pricing_transportation,types_of_program_variable_peak_pricing_residential,types_of_program_variable_peak_pricing_commercial,types_of_program_variable_peak_pricing_industrial,types_of_program_variable_peak_pricing_transportation,types_of_program_critical_peak_pricing_residential,types_of_program_critical_peak_pricing_commercial,types_of_program_critical_peak_pricing_industrial,types_of_program_critical_peak_pricing_transportation,types_of_program_critical_peak_rebate_residential,types_of_program_critical_peak_rebate_commercial,types_of_program_critical_peak_rebate_industrial,types_of_program_critical_peak_rebate_transportation
2024,55,City of Aberdeen - (MS),,MS,TVA,0,33,1,0,34,,Y,Y,,,,,,,,,,,,,,,,,
2024,84,A & N Electric Coop,,VA,PJM,3,5,0,0,8,Y,Y,,,,,,,,,,,,,,,,,,
2024,97,Adams Electric Coop,Y,IL,MISO,50,13,,,63,,,,,,,,,,,,,,,,,,,,
2024,108,Adams-Columbia Electric Coop,,WI,MISO,555,989,41,,1585,Y,Y,Y,,,,,,,,,,,Y,Y,,,,Y,
2024,162,Aiken Electric Coop Inc,,SC,SC,5,67,0,,72,Y,Y,,,,,,,,,,,,,,,,,,
2024,195,Alabama Power Co,,AL,SOCO,4650,4479,1075,,10204,Y,Y,Y,,,,Y,,,,,,Y,,,,,,,
2024,207,Alameda Municipal Power,,CA,CISO,1046,,,,1046,Y,,,,,,,,,,,,,,,,,,,
2024,213,Alaska Electric Light & Power Co.,,AK,NA,41,6,,,47,Y,Y,,,,,,,,,,,,,,,,,,
2024,240,Albemarle Electric Member Corp,,NC,PJM,52,8,,,60,Y,Y,,,,,,,,,,,,,,,,,,
2024,241,Albertville Municipal Utilities Board,,AL,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2024,276,Alcorn County Elec Power Assn,,MS,TVA,0,2,5,0,7,,Y,Y,,,,,,,,,,,,,,,,,
2024,307,Algoma Utility Comm,,WI,MISO,3,28,1,0,32,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,407,Altamaha Electric Member Corp,,GA,SOCO,,,231,,231,,,Y,,,,,,,,,,,,,,,,,
