data_year,utility_number,utility_name,state,ba_code,reporting_year_incremental_annual_savings_energy_savings_mwh_residential,reporting_year_incremental_annual_savings_energy_savings_mwh_commercial,reporting_year_incremental_annual_savings_energy_savings_mwh_industrial,reporting_year_incremental_annual_savings_energy_savings_mwh_transportation,reporting_year_incremental_annual_savings_energy_savings_mwh_total,reporting_year_incremental_annual_savings_peak_demand_savings_mw_residential,reporting_year_incremental_annual_savings_peak_demand_savings_mw_commercial,reporting_year_incremental_annual_savings_peak_demand_savings_mw_industrial,reporting_year_incremental_annual_savings_peak_demand_savings_mw_transportation,reporting_year_incremental_annual_savings_peak_demand_savings_mw_total,incremental_life_cycle_savings_energy_savings_mwh_residential,incremental_life_cycle_savings_energy_savings_mwh_commercial,incremental_life_cycle_savings_energy_savings_mwh_industrial,incremental_life_cycle_savings_energy_savings_mwh_transportation,incremental_life_cycle_savings_energy_savings_mwh_total,incremental_life_cycle_savings_peak_demand_savings_mw_residential,incremental_life_cycle_savings_peak_demand_savings_mw_commercial,incremental_life_cycle_savings_peak_demand_savings_mw_industrial,incremental_life_cycle_savings_peak_demand_savings_mw_transportation,incremental_life_cycle_savings_peak_demand_savings_mw_total,reporting_year_incremental_cost_customer_incentives_thousand_dollars_residential,reporting_year_incremental_cost_customer_incentives_thousand_dollars_commercial,reporting_year_incremental_cost_customer_incentives_thousand_dollars_industrial,reporting_year_incremental_cost_customer_incentives_thousand_dollars_transportation,reporting_year_incremental_cost_customer_incentives_thousand_dollars_total,reporting_year_incremental_cost_all_other_costs_thousand_dollars_residential,reporting_year_incremental_cost_all_other_costs_thousand_dollars_commercial,reporting_year_incremental_cost_all_other_costs_thousand_dollars_industrial,reporting_year_incremental_cost_all_other_costs_thousand_dollars_transportation,reporting_year_incremental_cost_all_other_costs_thousand_dollars_total,incremental_life_cycle_costs_customer_incentives_thousand_dollars_residential,incremental_life_cycle_costs_customer_incentives_thousand_dollars_commercial,incremental_life_cycle_costs_customer_incentives_thousand_dollars_industrial,incremental_life_cycle_costs_customer_incentives_thousand_dollars_transportation,incremental_life_cycle_costs_customer_incentives_thousand_dollars_total,incremental_life_cycle_costs_all_other_costs_thousand_dollars_residential,incremental_life_cycle_costs_all_other_costs_thousand_dollars_commercial,incremental_life_cycle_costs_all_other_costs_thousand_dollars_industrial,incremental_life_cycle_costs_all_other_costs_thousand_dollars_transportation,incremental_life_cycle_costs_all_other_costs_thousand_dollars_total,weighted_average_life_years_residential,weighted_average_life_years_commercial,weighted_average_life_years_industrial,weighted_average_life_years_transportation,weighted_average_life_years_website
2024,162.0,Aiken Electric Coop Inc,SC,SC,292.79,,,,292.79,0.002,,,,0.002,29491.66,,,,29491.66,0.002,,,,0.002,0,,,,0,462.549,,,,462.549,0,,,,0,3945.433,,,,3945.433,10,,,,
2024,189.0,PowerSouth Energy Cooperative,AL,SOCO,2323,,,,2323,1.7,,,,1.7,27870,,,,27870,1.7,,,,1.7,241,,,,241,517,,,,517,241,,,,241,517,,,,517,12,,,,
2024,195.0,Alabama Power Co,AL,SOCO,4043.7,738,,,4781.7,9.8,0.2,,,10,33257.3,3689.9,,,36947.2,9.8,0.2,,,10,829.8,61.6,,,891.4,941.5,150.6,,,1092.1,829.8,61.6,,,891.4,941.5,150.6,,,1092.1,8.22,5,,,
2024,207.0,Alameda Municipal Power,CA,CISO,44.212,118.784,0,,162.996,0.002,0.03,0,,0.032,556.747,1757.886,0,,2314.633,0.002,0.03,0,,0.032,70.291,27.321,0,,97.612,92.958,47.122,0,,140.08,70.291,27.321,0,,97.612,92.958,47.122,0,,140.08,13.568,14.837,0,,
2024,230.0,Albany Utility Board,GA,SOCO,44.78,,,,44.78,0.001,,,,0.001,44.78,,,,44.78,0.001,,,,0.001,60.72,,,,60.72,,,,,,60.72,,,,60.72,,,,,,1,,,,
2024,295.0,City of Alexandria - (MN),MN,MISO,214.704,393.666,1395.725,,2004.095,0.031,0.082,0.292,,0.405,3709.727,5143.689,18236.716,,27090.132,0.031,0.082,0.292,,0.405,17.674,20.181,71.55,,109.405,21.601,24.665,87.45,,133.716,17.674,20.181,71.55,,109.405,21.601,24.665,87.45,,133.716,17.278,13.066,13.066,,
2024,554.0,City of Ames - (IA),IA,MISO,274.2,19.4,,,293.6,0.047,0.01,,,0.057,2742,164.896,,,2906.896,0.047,0.01,,,0.057,240.2,2.016,,,242.216,29.353,1.713,,,31.066,240.2,2.016,,,242.216,29.353,1.713,,,31.066,9.7,9.7,,,
2024,590.0,City of Anaheim - (CA),CA,CISO,2229,2437,1044.38,,5710.38,0.5,0.6,0.263,,1.363,25803,27871,11277.195,,64951.195,0.5,0.6,0.263,,1.363,261,333,142.914,,736.914,1813,578,248.738,,2639.738,261,333,142.914,,736.914,1813,578,248.738,,2639.738,11.574,11.437,10.798,,
2024,691.0,City of Anoka,MN,MISO,109.71,320.88,0,0,430.59,1.41,0.01,0,0,1.42,336.1,2432.49,0,0,2768.59,1.41,0.01,0,0,1.42,3.65,30.54,0,0,34.19,7.01,107.69,0,0,114.7,3.65,30.54,0,0,34.19,7.01,107.69,0,0,114.7,12,14,0,0,
2024,733.0,Appalachian Power Co,VA,PJM,64690.8,7680,472,,72842.8,21.1,0.8,0.046,,21.946,495561.7,68232,4190,,567983.7,21.1,0.8,0.046,,21.946,7513.3,737,45,,8295.3,5786,705.9,43,,6534.9,7750.1,1318.6,81,,9149.7,5967.8,1584.5,97.3,,7649.6,7.7,8.9,8.9,,
