utility_characteristics_year,state,utility_number,utility_name,ba_code,photovoltaic_capacity_mw_type,photovoltaic_capacity_mw_residential,photovoltaic_capacity_mw_commercial,photovoltaic_capacity_mw_industrial,photovoltaic_capacity_mw_transportation,photovoltaic_capacity_mw_total,photovoltaic_installations_residential,photovoltaic_installations_commercial,photovoltaic_installations_industrial,photovoltaic_installations_transportation,photovoltaic_installations_total
2024,AR,59579.0,Sunnova,MISO,DC,0.276,,,,0.276,30,,,,30
2024,AR,59579.0,Sunnova,SWPP,DC,0.072,,,,0.072,8,,,,8
2024,AR,60025.0,Greenbacker Renewable Energy Corporation,SPA,AC,0,2.22,0,0,2.22,0,3,0,0,3
2024,AR,66036.0,"EverBright, LLC",MISO,AC,0.015,,,,0.015,2,,,,2
2024,AR,99999.0,Adjustment 2024,MISO,,-0.048,,,,-0.048,,,,,
2024,AR,99999.0,Adjustment 2024,SWPP,,-0.013,,,,-0.013,,,,,
2024,AZ,57313.0,Tesla Inc.,AZPS,DC,184.877,25.764,,,210.641,24451,351,,,24802
2024,AZ,57313.0,Tesla Inc.,SRP,DC,57.931,17.898,,,75.829,6754,47,,,6801
2024,AZ,57313.0,Tesla Inc.,TEPC,DC,66.832,8.407,,,75.239,8858,416,,,9274
2024,AZ,57313.0,Tesla Inc.,WALC,DC,1.203,0,,,1.203,166,0,,,166
2024,AZ,59086.0,"Constellation Solar Holding, LLC",AZPS,DC,0,22.83,0,0,22.83,0,97,0,0,97
2024,AZ,59086.0,"Constellation Solar Holding, LLC",TEPC,DC,0,13.14,0,0,13.14,0,52,0,0,52
2024,AZ,59579.0,Sunnova,AZPS,DC,35.66,,,,35.66,4087,,,,4087
2024,AZ,59579.0,Sunnova,PNM,DC,0.044,,,,0.044,5,,,,5
2024,AZ,59579.0,Sunnova,SRP,DC,9.988,,,,9.988,1144,,,,1144
2024,AZ,59579.0,Sunnova,TEPC,DC,12.69,,,,12.69,1455,,,,1455
2024,AZ,59579.0,Sunnova,WALC,DC,1.769,,,,1.769,202,,,,202
2024,AZ,59580.0,"SunPower Capital, LLC",AZPS,AC,79.05,,,,79.05,8166,,,,8166
2024,AZ,59580.0,"SunPower Capital, LLC",CISO,AC,2.05,,,,2.05,212,,,,212
2024,AZ,59580.0,"SunPower Capital, LLC",PSCO,AC,0.06,,,,0.06,6,,,,6
2024,AZ,59580.0,"SunPower Capital, LLC",SRP,AC,4.48,,,,4.48,464,,,,464
2024,AZ,59580.0,"SunPower Capital, LLC",TEPC,AC,23.26,,,,23.26,2403,,,,2403
2024,AZ,59580.0,"SunPower Capital, LLC",WALC,AC,2.17,,,,2.17,224,,,,224
2024,AZ,59647.0,Sunrun Inc.,AZPS,DC,311.793,,,,311.793,36059,,,,36059
2024,AZ,59647.0,Sunrun Inc.,SRP,DC,10.04,,,,10.04,1009,,,,1009
2024,AZ,59647.0,Sunrun Inc.,TEPC,DC,30.662,,,,30.662,4006,,,,4006
2024,AZ,59647.0,Sunrun Inc.,WALC,DC,0.15,,,,0.15,20,,,,20
2024,AZ,59943.0,Spruce Finance,AZPS,AC,27.852,0,0,0,27.852,3607,0,0,0,3607
2024,AZ,60025.0,Greenbacker Renewable Energy Corporation,TEPC,AC,0,1.05,0,0,1.05,0,4,0,0,4
2024,AZ,60981.0,"TerraForm US Energy Services, LLC",AZPS,AC,,8.36,,,8.36,,29,,,29
2024,AZ,66026.0,"Palmetto Solar, LLC",AZPS,DC,18.812,,,,18.812,1759,,,,1759
2024,AZ,66026.0,"Palmetto Solar, LLC",SRP,DC,4.059,,,,4.059,523,,,,523
2024,AZ,66026.0,"Palmetto Solar, LLC",TEPC,DC,2.825,,,,2.825,322,,,,322
2024,AZ,66026.0,"Palmetto Solar, LLC",WALC,DC,4.265,,,,4.265,490,,,,490
2024,AZ,66036.0,"EverBright, LLC",AZPS,AC,12.885,,,,12.885,1725,,,,1725
