year,state,number_and_capacity_mw_number_of_generators,number_and_capacity_mw_total_capacity,number_and_capacity_mw_capacity_back_up_only,number_and_capacity_mw_capacity_utility_owned,photovoltaic_mw_data_type,photovoltaic_mw_residential,photovoltaic_mw_commercial,photovoltaic_mw_industrial,photovoltaic_mw_transportation,photovoltaic_mw_direct_connected,photovoltaic_mw_total,battery_mw_residential,battery_mw_commercial,battery_mw_industrial,battery_mw_transportation,battery_mw_direct_connected,battery_mw_total,battery_energy_mwh_residential,battery_energy_mwh_commercial,battery_energy_mwh_industrial,battery_energy_mwh_transportation,battery_energy_mwh_direct_connected,battery_energy_mwh_total,wind_mw_residential,wind_mw_commercial,wind_mw_industrial,wind_mw_transportation,wind_mw_direct_connected,wind_mw_total,hydroelectric_mw_residential,hydroelectric_mw_commercial,hydroelectric_mw_industrial,hydroelectric_mw_transportation,hydroelectric_mw_direct_connected,hydroelectric_mw_total,fuel_cells_mw_residential,fuel_cells_mw_commercial,fuel_cells_mw_industrial,fuel_cells_mw_transportation,fuel_cells_mw_direct_connected,fuel_cells_mw_total,internal_combustion_mw_residential,internal_combustion_mw_commercial,internal_combustion_mw_industrial,internal_combustion_mw_transportation,internal_combustion_mw_direct_connected,internal_combustion_mw_total,combustion_turbine_mw_residential,combustion_turbine_mw_commercial,combustion_turbine_mw_industrial,combustion_turbine_mw_transportation,combustion_turbine_mw_direct_connected,combustion_turbine_mw_total,steam_mw_residential,steam_mw_commercial,steam_mw_industrial,steam_mw_transportation,steam_mw_direct_connected,steam_mw_total,other_mw_residential,other_mw_commercial,other_mw_industrial,other_mw_transportation,other_mw_direct_connected,other_mw_total,total_mw_residential,total_mw_commercial,total_mw_industrial,total_mw_transportation,total_mw_direct_connected,total_mw_total
2024,AK,218.0,29.519,5.126,26.118,A,0.038,1.939,0.05,,0.201,2.228,,,,,,0.0,,,,,,0.0,0.016,0.219,,,5.7,5.935,,0.112,,,0.8,0.912,,,,,,0.0,,0.175,,,18.994,19.169,,1.25,,,,1.25,,,0.019,,,0.019,,0.006,,,,0.006,0.054,3.701,0.069,0.0,25.695,29.519
2024,AL,706.0,18.352,0.867,0.951,A,3.662,10.097,1.884,0,0,15.643,,,,,,0.0,,,,,,0.0,0.001,0.005,0,0,0,0.006,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.951,0,0,0,0,0.951,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1.712,0.04,0,0,1.752,4.614,11.814,1.924,0.0,0.0,18.352
2024,AR,301.0,27.791,19.951,5.591,A,,1.99,,,,1.99,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,6.5,13.301,6,,,25.801,,,,,,0.0,,,,,,0.0,,,,,,0.0,6.5,15.291,6.0,0.0,0.0,27.791
2024,AZ,32.0,8.363,6.32,1.745,A,0.4,0.637,0,0,0.806,1.843,,0,,,,0.0,,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0,0,4.7,0,,4.7,0,0,1.82,0,,1.82,0,0,0,0,,0.0,,0,0,0,0,0.0,0.4,0.637,6.52,0.0,0.806,8.363
2024,CA,10504.0,703.94,135.847,23.904,A,11.547,142.398,33.276,0,40.119,227.34,9.088,226.464,15.246,0,1.794,252.592,0,561.26,0,0,3.15,564.41,0,0.487,0.015,0,0,0.502,0,8.394,0,0,17.342,25.736,0.117,16.121,2.685,0,0.225,19.148,0.436,108.139,16.898,0,2.573,128.046,0,33.096,9.886,0,0,42.982,0,0.275,0,0,1.425,1.7,0.1,4.805,0.72,0,0.269,5.894,21.288,540.179,78.726,0.0,63.747,703.94
2024,CO,239.0,22.172,2.8,2.479,A,2.476,3.098,0.251,,7.989,13.814,,0.5,,,,0.5,0.19,,,,0,0.19,,,,,,0.0,,2.465,,,1.833,4.298,,,,,,0.0,,1.26,2.3,,,3.56,,,,,,0.0,,,,,,0.0,,,,,,0.0,2.476,7.323,2.551,0.0,9.822,22.172
2024,CT,2580.0,74.494,7.995,0,A,5.06,5.669,0.736,,4.061,15.526,20.52,2.823,0.78,,,24.123,,,,,,0.0,,0.03,,,,0.03,,,,,3.764,3.764,,1.05,0.6,,,1.65,0.15,13.286,1.35,,,14.786,,1.34,0.065,,,1.405,,0.015,0.2,,0.15,0.365,0.2,11.595,0.2,,0.85,12.845,25.93,35.808,3.931,0.0,8.825,74.494
2024,FL,3635.0,499.035,432.573,24.983,A,1.029,5.029,,,3.295,9.352,,0.307,,,0.036,0.343,,,,,0.144,0.144,,,,,,0.0,,,,,,0.0,,,,,,0.0,40,437.472,11.868,,,489.34,,,,,,0.0,,,,,,0.0,,,,,,0.0,41.029,442.808,11.868,0.0,3.331,499.035
2024,GA,1223.0,347.648,162.643,13.009,A,2.541,15.336,144.877,0,0.7,163.453,,1.025,,,,1.025,,,,,,0.0,0.007,0,0,0,0,0.007,0,2.73,0.75,0,0.5,3.98,0,0,0,0,0,0.0,0,111.8,63.924,0,0.8,176.524,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.659,2,0,0,0,2.659,3.207,132.891,209.551,0.0,2.0,347.648
2024,HI,11782.0,355.801,0,0.987,A,90.299,162.25,0.803,0,0.125,253.477,82.086,15.202,0,0,0,97.288,208.707,59.34,0,0,0,268.047,0,0.684,0,0,0,0.684,0,0.737,0,0,0,0.737,0,0,0,0,0,0.0,0,1.735,0,0,0,1.735,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1.88,0,0,0,1.88,172.385,182.488,0.803,0.0,0.125,355.801
2024,IA,998.0,84.369,20.107,3.713,A,11.265,17.282,2.145,,4.371,35.063,1.129,1.052,,,,2.181,0.12,,,,,0.12,0.627,3.104,0.1,,,3.831,,1.49,,,0.882,2.372,,,,,,0.0,,39.813,,,,39.813,,,,,,0.0,,,,,,0.0,0.003,0.45,0.656,,,1.109,13.024,63.191,2.901,0.0,5.253,84.369
2024,ID,33.0,11.865,,,A,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,11.365,11.365,,,,,,0.0,,,,,0.5,0.5,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,11.865,11.865
2024,IL,939.0,48.292,2.637,0.35,A,6.892,13.976,7.328,0,1.944,30.141,1.988,7.367,0.98,0,0,10.335,1.151,0,0,0,0,1.151,0.031,2.276,0.75,0,0,3.057,,,,,,0.0,,,,,,0.0,,0.1,2.695,,,2.795,,,,,,0.0,,,,,,0.0,0,0.414,1.55,0,0,1.964,8.911,24.133,13.303,0.0,1.944,48.292
2024,IN,1881.0,47.747,7.7,2.203,A,9.207,9.827,0.01,0,0.05,19.094,0.012,0,0,0,0,0.012,0.012,0,0,0,0,0.012,0.054,0.851,0,0,0,0.905,,,,,,0.0,,,,,,0.0,12.32,6.7,2.3,,,21.32,,0.016,6.4,,,6.416,,,,,,0.0,,,,,,0.0,21.593,17.394,8.71,0.0,0.05,47.747
2024,KS,162.0,18.047,,,A,0.158,14.606,2.027,,0.826,17.618,,,,,,0.0,,,,,,0.0,0.013,0.416,,,,0.429,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.171,15.022,2.027,0.0,0.826,18.047
2024,KY,483.0,31.562,8.035,0.769,A,2.358,15.175,2.009,0,0.193,19.736,,0.155,0.135,,,0.29,,,,,,0.0,0.002,0,0,0,0,0.002,2.5,0,0,0,0,2.5,0,0,0,0,0,0.0,0,8.035,0,0,0,8.035,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.999,0,0,0,0.999,4.86,24.364,2.144,0.0,0.193,31.562
2024,LA,111.0,4.668,,4.477,A,0.314,2.095,,,,2.408,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,2.26,,,,2.26,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.314,4.355,0.0,0.0,0.0,4.668
2024,MA,4963.0,268.036,0,7.547,A,45.685,148.025,7.255,,2.456,203.422,0.1,0.5,,,,0.6,,,,,,0.0,,0.803,,,,0.803,0.024,3.648,1.215,,,4.887,,8.429,,,,8.429,0.433,21.277,1.625,,,23.335,0.586,23.337,0.756,,,24.679,,1.381,,,,1.381,,0.5,,,,0.5,46.828,207.9,10.851,0.0,2.456,268.036
2024,MD,1.0,0.5,0,0.5,A,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2024,MI,531.0,65.668,2.6,4.36,A,2.208,25.234,3.677,,17.066,48.185,,0.6,0.408,,1,2.008,,,,,,0.0,0.076,0.283,,,0.001,0.36,,0.05,,,4.094,4.144,,,,,,0.0,,2.14,0.406,,3.5,6.046,,,,,,0.0,,,,,,0.0,,1.555,3.37,,,4.925,2.284,29.862,7.861,0.0,25.661,65.668
