utility_characteristics_year,state,utility_number,utility_name,ba_code,number_and_capacity_mw_number_of_generators,number_and_capacity_mw_total_capacity,number_and_capacity_mw_capacity_back_up_only,number_and_capacity_mw_capacity_utility_owned,photovoltaic_mw_type,photovoltaic_mw_residential,photovoltaic_mw_commercial,photovoltaic_mw_industrial,photovoltaic_mw_transportation,photovoltaic_mw_direct_connected,photovoltaic_mw_total,battery_mw_residential,battery_mw_commercial,battery_mw_industrial,battery_mw_transportation,battery_mw_direct_connected,battery_mw_total,battery_energy_mwh_residential,battery_energy_mwh_commercial,battery_energy_mwh_industrial,battery_energy_mwh_transportation,battery_energy_mwh_direct_connected,battery_energy_mwh_total,wind_mw_residential,wind_mw_commercial,wind_mw_industrial,wind_mw_transportation,wind_mw_direct_connected,wind_mw_total,hydroelectric_mw_residential,hydroelectric_mw_commercial,hydroelectric_mw_industrial,hydroelectric_mw_transportation,hydroelectric_mw_direct_connected,hydroelectric_mw_total,fuel_cells_mw_residential,fuel_cells_mw_commercial,fuel_cells_mw_industrial,fuel_cells_mw_transportation,fuel_cells_mw_direct_connected,fuel_cells_mw_total,internal_combustion_mw_residential,internal_combustion_mw_commercial,internal_combustion_mw_industrial,internal_combustion_mw_transportation,internal_combustion_mw_direct_connected,internal_combustion_mw_total,combustion_turbine_mw_residential,combustion_turbine_mw_commercial,combustion_turbine_mw_industrial,combustion_turbine_mw_transportation,combustion_turbine_mw_direct_connected,combustion_turbine_mw_total,steam_mw_residential,steam_mw_commercial,steam_mw_industrial,steam_mw_transportation,steam_mw_direct_connected,steam_mw_total,other_mw_residential,other_mw_commercial,other_mw_industrial,other_mw_transportation,other_mw_direct_connected,other_mw_total,total_mw_residential,total_mw_commercial,total_mw_industrial,total_mw_transportation,total_mw_direct_connected,total_mw_total
2024,AK,213.0,Alaska Electric Light & Power Co.,NA,6,0.141,,,DC,,0.09,,,,0.09,,,,,,0,,,,,,0,,0.002,,,,0.002,,0.03,,,,0.03,,,,,,0,,,,,,0,,,,,,0,,,0.019,,,0.019,,,,,,0,0,0.122,0.019,0,0,0.141
2024,AK,219.0,Alaska Power and Telephone Co,NA,32,4.909,1.71,4.816,AC,,0.093,,,0.062,0.155,,,,,,0,,,,,,0,,,,,,0,,,,,0.8,0.8,,,,,,0,,,,,3.954,3.954,,,,,,0,,,,,,0,,,,,,0,0,0.093,0,0,4.816,4.909
2024,AK,221.0,"Alaska Village Elec Coop, Inc",NA,128,22.085,3.346,20.739,AC,0.038,1.083,,,0.033,1.154,,,,,,0,,,,,,0,0.016,0.175,,,5.7,5.891,,,,,,0,,,,,,0,,,,,15.04,15.04,,,,,,0,,,,,,0,,,,,,0,0.054,1.258,0,0,20.773,22.085
2024,AK,3522.0,Chugach Electric Assn Inc,CEA,21,1.735,0.07,,AC,,0.293,,,,0.293,,,,,,0,,,,,,0,,,,,,0,,0.082,,,,0.082,,,,,,0,,0.175,,,,0.175,,1.185,,,,1.185,,,,,,0,,,,,,0,0,1.735,0,0,0,1.735
2024,AK,7353.0,Golden Valley Elec Assn Inc,NA,31,0.665,0,0.563,AC,,0.396,0.05,,0.106,0.552,,,,,,0,,,,,,0,,0.042,,,,0.042,,,,,,0,,,,,,0,,,,,,0,,0.065,,,,0.065,,,,,,0,,0.006,,,,0.006,0,0.509,0.05,0,0.106,0.665
2024,AK,99999.0,State Adjustment,NA,,-0.016,,,,,-0.016,,,,-0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016,,,,-0.016
2024,AL,195.0,Alabama Power Co,SOCO,443,9.816,,,AC,2.138,5.748,1.884,,,9.77,,,,,,0,,,,,,0,0.001,0.005,,,,0.006,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,0.04,,,0.04,2.139,5.753,1.924,0,0,9.816
2024,AL,241.0,Albertville Municipal Utilities Board,TVA,3,0.026,0,0,AC,0.02,0.006,0,0,0,0.026,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.006,0,0,0,0.026
2024,AL,750.0,Arab Electric Coop Inc,TVA,12,0.297,0,0,AC,0.077,0.22,0,0,0,0.297,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0.22,0,0,0,0.297
2024,AL,944.0,City of Athens - (AL),TVA,20,0.371,0,0,AC,0.215,0.156,0,0,0,0.371,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0.156,0,0,0,0.371
