data_year,state,ieee_standard_all_events_with_major_event_days_number_of_customers,ieee_standard_all_events_with_major_event_days_saidi_minutes_per_year,ieee_standard_all_events_with_major_event_days_saifi_times_per_year,ieee_standard_all_events_with_major_event_days_caidi_minutes_per_year,ieee_standard_without_major_event_days_saidi_minutes_per_year,ieee_standard_without_major_event_days_saifi_times_per_year,ieee_standard_without_major_event_days_caidi_minutes_per_year,ieee_standard_loss_of_supply_removed_with_major_event_days_saidi_minutes_per_year,ieee_standard_loss_of_supply_removed_with_major_event_days_saifi_times_per_year,ieee_standard_loss_of_supply_removed_with_major_event_days_caidi_minutes_per_year,any_standard_all_events_with_major_event_days_number_of_customers,any_standard_all_events_with_major_event_days_saidi_minutes_per_year,any_standard_all_events_with_major_event_days_saifi_times_per_year,any_standard_all_events_with_major_event_days_caidi_minutes_per_year,any_standard_without_major_event_days_saidi_minutes_per_year,any_standard_without_major_event_days_saifi_times_per_year,any_standard_without_major_event_days_caidi_minutes_per_year
2024,AK,283571.0,323.2,2.321,139.3,192.4,1.862,103.3,371.0,1.84,201.7,300295.0,327.1,2.591,126.3,192.4,1.862,103.3
2024,AL,434148.0,197.7,1.749,113.0,120.8,1.29,93.6,189.6,1.654,114.6,2256945.0,279.4,1.87,149.4,117.8,1.037,113.6
2024,AR,1411144.0,527.8,2.137,247.0,201.9,1.617,124.8,377.8,1.807,209.2,1534416.0,509.1,2.128,239.3,194.6,1.587,122.7
2024,AZ,3339887.0,83.6,0.963,86.8,69.8,0.88,79.4,75.8,0.935,81.1,3370976.0,87.5,0.988,88.6,72.0,0.898,80.1
2024,CA,15232351.0,285.0,1.353,210.7,164.4,1.181,139.2,306.3,1.429,214.3,16140026.0,279.6,1.345,208.0,158.2,1.154,137.1
2024,CO,2748388.0,257.0,1.415,181.6,118.9,1.145,103.9,251.2,1.335,188.1,2790778.0,255.1,1.409,181.0,119.0,1.142,104.3
2024,CT,1709458.0,152.8,0.877,174.3,73.6,0.649,113.3,152.3,0.858,177.4,1734558.0,153.6,0.876,175.5,73.1,0.644,113.4
2024,DC,342495.0,32.6,0.271,120.2,26.4,0.246,107.2,32.6,0.271,120.2,342495.0,32.6,0.271,120.2,26.4,0.246,107.2
2024,DE,468340.0,117.9,0.855,138.0,66.8,0.727,91.9,118.9,0.857,138.7,477075.0,116.1,0.843,137.8,65.9,0.717,91.9
2024,FL,9909434.0,1487.6,1.784,833.9,66.7,0.741,90.0,1485.6,1.716,865.9,11821975.0,1321.5,1.77,746.6,66.4,0.762,87.1
2024,GA,4751725.0,1208.1,2.104,574.3,211.4,1.244,170.0,768.0,1.905,403.2,4850646.0,1229.1,2.122,579.2,212.3,1.264,168.0
2024,HI,35232.0,382.6,4.39,87.2,219.3,2.39,91.8,0.0,0.0,,506381.0,320.6,2.616,122.6,225.6,2.18,103.5
2024,IA,904873.0,200.3,1.213,165.1,84.1,0.811,103.6,187.0,1.043,179.3,1460505.0,166.7,1.15,145.0,89.8,0.887,101.3
2024,ID,952059.0,204.4,1.314,155.5,152.5,1.136,134.2,150.5,0.959,157.1,971668.0,232.8,1.314,177.1,174.0,1.136,153.2
2024,IL,5831894.0,158.0,0.848,186.3,59.1,0.637,92.7,154.7,0.815,189.9,5923658.0,156.9,0.852,184.0,59.4,0.644,92.3
2024,IN,2908019.0,310.0,1.276,242.9,123.3,1.008,122.4,252.3,1.14,221.4,3173193.0,312.4,1.283,243.5,121.4,0.997,121.8
2024,KS,1269307.0,289.8,1.503,192.8,104.0,1.005,103.5,277.9,1.35,205.9,1307131.0,285.6,1.506,189.7,103.6,1.003,103.3
2024,KY,2258979.0,537.7,1.783,301.6,145.7,1.216,119.8,520.1,1.58,329.2,2324465.0,648.3,1.955,331.7,153.3,1.32,116.1
2024,LA,1782597.0,630.6,2.356,267.7,215.9,1.661,130.0,603.0,2.21,272.8,2307468.0,727.5,2.722,267.2,206.0,1.751,117.6
2024,MA,3043016.0,103.7,0.852,121.8,77.0,0.748,102.9,103.9,0.829,125.3,3114594.0,102.0,0.843,120.9,76.1,0.743,102.3
2024,MD,2685372.0,118.1,0.817,144.5,75.1,0.686,109.6,116.7,0.802,145.6,2685689.0,118.1,0.817,144.5,75.1,0.686,109.6
2024,ME,858340.0,1748.6,3.636,480.9,274.0,2.139,128.1,1701.0,3.326,511.5,858340.0,1748.6,3.636,480.9,274.0,2.139,128.1
