data_year,utility_number,utility_name,ownership,state,ba_code,decoupled_residential,decoupled_commercial,decoupled_industrial,decoupled_transportation,revenue_adjustment_method_residential,revenue_adjustment_method_commercial,revenue_adjustment_method_industrial,revenue_adjustment_method_transportation
2024,963,Atlantic City Electric Co,Investor Owned,NJ,PJM,Yes,Yes,Yes,No,Proceeding,Proceeding,Proceeding,
2024,1167,Baltimore Gas & Electric Co,Investor Owned,MD,PJM,Yes,Yes,No,No,Proceeding,Proceeding,,
2024,1179,Versant Power,Investor Owned,ME,NBSO,Yes,Yes,Yes,,Proceeding,Proceeding,Proceeding,
2024,1179,Versant Power,Investor Owned,ME,ISNE,Yes,Yes,Yes,,Proceeding,Proceeding,Proceeding,
2024,2651,Butler Rural Electric Coop Inc - (OH),Cooperative,OH,PJM,Yes,Yes,Yes,No,Proceeding,Proceeding,Proceeding,
2024,2812,City of Calhoun - (GA),Municipal,GA,SOCO,Yes,Yes,Yes,Yes,Proceeding,Proceeding,Proceeding,Proceeding
2024,3046,Duke Energy Progress - (NC),Investor Owned,NC,CPLE,Yes,No,No,No,Proceeding,,,
2024,3240,Central Electric Coop Inc - (OR),Cooperative,OR,BPAT,No,Yes,Yes,No,Proceeding,Proceeding,Proceeding,
2024,3249,Central Hudson Gas & Elec Corp,Investor Owned,NY,NYIS,Yes,Yes,Yes,,Automatic,Automatic,Automatic,
2024,3542,Duke Energy Ohio Inc,Investor Owned,OH,PJM,Yes,No,No,No,Proceeding,,,
2024,3989,City of Colorado Springs - (CO),Municipal,CO,WACM,Yes,Yes,Yes,No,Proceeding,Proceeding,Proceeding,
2024,4003,City of Colton - (CA),Municipal,CA,CISO,Yes,Yes,Yes,,Proceeding,Proceeding,Proceeding,
2024,4065,City of Columbus - (OH),Municipal,OH,PJM,Yes,Yes,Yes,,Proceeding,Proceeding,Proceeding,
2024,4110,Commonwealth Edison Co,Investor Owned,IL,PJM,Yes,Yes,Yes,Yes,Automatic,Automatic,Automatic,Automatic
2024,4176,Connecticut Light & Power Co,Investor Owned,CT,ISNE,Yes,Yes,Yes,Yes,Proceeding,Proceeding,Proceeding,Proceeding
2024,4226,Consolidated Edison Co-NY Inc,Investor Owned,NY,NYIS,Yes,Yes,Yes,Yes,Proceeding,Proceeding,Proceeding,Proceeding
2024,4296,"Cookson Hills Elec Coop, Inc",Cooperative,OK,AECI,Yes,Yes,Yes,No,Automatic,Automatic,Automatic,
2024,4671,Custer Public Power District,Political Subdivision,NE,SWPP,No,Yes,No,No,,Automatic,,
