data_year,utility_number,utility_name,short_form,state,county
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Adjuntas
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Aguada
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Aguadilla
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Aguas Buenas
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Aibonito
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Anasco
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Arecibo
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Arroyo
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Barceloneta
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Barranquitas
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Bayamon
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Cabo Rojo
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Caguas
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Camuy
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Canovanas
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Carolina
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Catano
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Cayey
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Ceiba
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Ciales
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Cidra
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Coamo
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Comerio
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Corozal
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Culebra
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Dorado
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Fajardo
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Florida
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Guanica
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Guayama
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Guayanilla
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Guaynabo
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Gurabo
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Hatillo
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Hormigueros
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Humacao
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Isabela
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Jayuya
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Juana Diaz
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Juncos
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Lajas
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Lares
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Las Marias
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Las Piedras
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Loiza
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Luquillo
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Manati
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Maricao
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Maunabo
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Mayaguez
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Moca
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Morovis
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Naguabo
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Naranjito
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Orocovis
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Patillas
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Penuelas
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Ponce
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Quebradillas
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Rincon
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Rio Grande
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Sabana Grande
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Salinas
2024,15497,Puerto Rico Electric Pwr Authority,,PR,San German
2024,15497,Puerto Rico Electric Pwr Authority,,PR,San Juan
2024,15497,Puerto Rico Electric Pwr Authority,,PR,San Lorenzo
2024,15497,Puerto Rico Electric Pwr Authority,,PR,San Sebastian
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Santa Isabel
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Toa Alta
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Toa Baja
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Trujillo Alto
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Utuado
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Vega Alta
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Vega Baja
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Vieques
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Villalba
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Yabucoa
2024,15497,Puerto Rico Electric Pwr Authority,,PR,Yauco
2024,19879,Virgin Islands Water & Power Authority,,VI,St Croix
2024,19879,Virgin Islands Water & Power Authority,,VI,St John
2024,19879,Virgin Islands Water & Power Authority,,VI,St Thomas
2024,40428,Guam Power Authority,,GU,Guam
2024,40429,American Samoa Power Authority,,AS,Eastern
2024,40429,American Samoa Power Authority,,AS,Manu A
2024,40429,American Samoa Power Authority,,AS,Rose Island
2024,40429,American Samoa Power Authority,,AS,Swains Island
2024,40429,American Samoa Power Authority,,AS,Western
2024,57105,Commonwealth Utility Corporation - (MP),,MP,Rota
2024,57105,Commonwealth Utility Corporation - (MP),,MP,Saipan
2024,57105,Commonwealth Utility Corporation - (MP),,MP,Tinian
