data_year,utility_number,utility_name,state,utility_characteristics_ownership_type,utility_characteristics_nerc_region,also_operating_in_other_nerc_regions_tre,also_operating_in_other_nerc_regions_frcc,also_operating_in_other_nerc_regions_mro,also_operating_in_other_nerc_regions_npcc,also_operating_in_other_nerc_regions_rfc,also_operating_in_other_nerc_regions_serc,also_operating_in_other_nerc_regions_spp,also_operating_in_other_nerc_regions_wecc,operating_in_these_rtos_caiso,operating_in_these_rtos_ercot,operating_in_these_rtos_pjm,operating_in_these_rtos_nyiso,operating_in_these_rtos_spp,operating_in_these_rtos_miso,operating_in_these_rtos_isone,operating_in_these_rtos_other,other_activities_generation,other_activities_transmission,other_activities_buying_transmission,other_activities_distribution,other_activities_buying_distribution,other_activities_wholesale_marketing,other_activities_retail_marketing,other_activities_bundled,other_activities_alt_fuel_vehicle,other_activities_alt_fuel_vehicle_2
2024,55,City of Aberdeen - (MS),MS,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,84,A & N Electric Coop,VA,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,Y,N,,Y,,,,,Y,Y
2024,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,,,Y,,N,,,,,,,,,Y,,,,,Y,Y,Y,,,,Y,Y
2024,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,,,,,,,,,,,Y,Y,,,,,,,,,,,Y,,,
2024,155,Agralite Electric Coop,MN,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,Y,Y,N,,,,Y,Y
2024,162,Aiken Electric Coop Inc,SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2024,176,Ajo Improvement Co,AZ,Investor Owned,WECC,,,,,,,,Y,,,,,,,,,,,,,,,,Y,N,
2024,189,PowerSouth Energy Cooperative,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,Y,Y,Y,,,Y,,N,Y,Y
2024,195,Alabama Power Co,AL,Investor Owned,SERC,,,,,,Y,,,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y
2024,207,Alameda Municipal Power,CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,,,,Y,,,N,,Y,Y
2024,213,Alaska Electric Light & Power Co.,AK,Investor Owned,AK,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,Y,Y
2024,219,Alaska Power and Telephone Co,AK,Investor Owned,AK,,,,,,,,,,,,,,,,,Y,Y,,Y,,Y,Y,,Y,Y
2024,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,AK,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,
2024,230,Albany Utility Board,GA,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2024,232,City of Albemarle - (NC),NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,N,,Y,,,,,,
2024,240,Albemarle Electric Member Corp,NC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2024,241,Albertville Municipal Utilities Board,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2024,261,AGC Division of APGI Inc,PA,Investor Owned,RFC,,,,,Y,,,,,,,,,Y,,,Y,,Y,Y,,Y,,Y,N,
2024,276,Alcorn County Elec Power Assn,MS,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2024,295,City of Alexandria - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,Y,Y,Y,,Y,Y,,
2024,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,
2024,298,City of Alexandria - (LA),LA,Municipal,SERC,,,,,,Y,N,,,,,,N,Y,,,Y,Y,Y,Y,,,,Y,Y,Y
2024,305,Alger-Delta Coop Electric Assn,MI,Cooperative,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2024,307,Algoma Utility Comm,WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2024,332,Allegheny Electric Coop Inc,PA,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,Y,Y,Y,,,,,,,
2024,343,AEP Generating Company,OH,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,Y,,,,,Y,,,Y,Y
2024,392,Alpena Power Co,MI,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2024,407,Altamaha Electric Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2024,416,City of Altus - (OK),OK,Municipal,MRO,,,Y,,,,N,,,,,,Y,,,,,N,,Y,,,N,N,,
2024,471,Amana Society Service Co,IA,Investor Owned,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,,Y,,,,Y,,
2024,540,BP Energy Company,TX,Retail Power Marketer,TRE,N,,,,,,,,,Y,,,,,,,,,,,,Y,Y,,,
2024,554,City of Ames - (IA),IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,N,,,Y,Y
2024,562,Amicalola Electric Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,571,City of Amory,MS,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,577,City of Alcoa Utilities,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
